Analyse_Nom;Sousgroupe;GroupeValidation;Sexe;Agedebut;Agefin;UsuelleBasse;UsuelleHaute;AlarmeBasse;AlarmeHaute;RepassBasse;RepassHaute;Deltapourcent;DeltaAbsolu;DeltaBloquant;Autovalidation;SeuilJours;SeuilRepassage;SeuilRepassage2;SeuilRepassage3;RepassCalc1;RepassCalc2;Fourchette1;Fourchette2;Fourchette3
5NU;0;GG;;;;.34;2.2;;;;;30;.5;1;1;30;6.563;5.102;0;2.083;0;[... -2.083];]2.083 - ...];
IGA;5;GG;;10001;30000;0;.8;0;1.1;0;1.4;30;.5;1;1;30;6.625;4.886;4.696;1.837;2.439;[... - 1.837];]1.837 - 2.439];]2.439 - ...]
IGA;6;GG;;30001;60000;.11;1.42;.05;1.7;.05;2;30;.5;1;1;30;6.625;4.886;4.696;1.837;2.439;[... - 1.837];]1.837 - 2.439];]2.439 - ...]
IGA;7;GG;;140001;190000;.4;2.93;.3;3.2;.2;3.5;30;.5;1;1;30;6.625;4.886;4.696;1.837;2.439;[... - 1.837];]1.837 - 2.439];]2.439 - ...]
IGM;1;GG;;0;14;.03;.32;.03;.5;.03;.7;30;.5;1;1;30;13.359;6.964;9.576;.715;.973;[... - .715];].715 - .973];].973 - ...]
IGM;2;GG;;15;300;.1;.67;.05;.9;.05;1.1;30;.5;1;1;30;13.359;6.964;9.576;.715;.973;[... - .715];].715 - .973];].973 - ...]
IGM;3;GG;;301;10000;.14;.82;.1;1;.1;1.2;30;.5;1;1;30;13.359;6.964;9.576;.715;.973;[... - .715];].715 - .973];].973 - ...]
IGM;4;GG;2;10001;190000;.45;1.78;.35;2;.25;2.2;30;.5;1;1;30;13.359;6.964;9.576;.715;.973;[... - .715];].715 - .973];].973 - ...]
GL hep;0;GG;;;;4.1;5.9;4;6;3;20;30;2;1;1;10;4.729;5.018;0;9.51;0;[... -9.51];]9.51 - ...];
GL hep;1;GG;;0;1;2.2;3.3;2.1;4;2;12;30;2;1;1;10;4.729;5.018;0;9.51;0;[... -9.51];]9.51 - ...];
GL hep;2;GG;;1;8;2.8;4.4;2.6;4.6;2;12;30;2;1;1;10;4.729;5.018;0;9.51;0;[... -9.51];]9.51 - ...];
GL hep;3;GG;;9;180000;3.3;5.5;3;6;2;12;30;2;1;1;10;4.729;5.018;0;9.51;0;[... -9.51];]9.51 - ...];
GL hep;4;GG;;600000;900000;4.6;6.4;4;7;3;20;30;2;1;1;10;4.729;5.018;0;9.51;0;[... -9.51];]9.51 - ...];
GL hep;5;GG;;900000;1200000;4.2;6.7;3;20;;;30;2;1;1;10;4.729;5.018;0;9.51;0;[... -9.51];]9.51 - ...];
B2MAP;0;DI;;;;.8;2.2;.5;3;.5;7;30;10;1;1;200;9.607;8.324;0;3.311;0;[... -3.311];]3.311 - ...];
B2MAV;0;DI;;;;.8;2.2;.5;3;.5;7;30;10;1;1;200;9.607;8.324;0;3.311;0;[... -3.311];]3.311 - ...];
TESTO;0;GG;;;;2.49;8.36;2;9;;;;;1;1;;15.389;5.888;10.45;1.806;5.243;[... - 1.806];]1.806 - 5.243];]5.243 - ...]
CORTU;0;GG;;;;1.5;102;;;;;;;1;1;;14.47;9.332;0;9.207;0;[... -9.207];]9.207 - ...];
IGM;5;GG;1;10001;190000;.36;1.44;.35;2;.25;2.2;30;.5;1;1;30;13.359;6.964;9.576;.715;.973;[... - .715];].715 - .973];].973 - ...]
